proizvod,opis,kategorija,velicina,boja,cena,zaliha,kanali
Adidas Samba OG,Kultne retro patike od kože,Patike,42,crna,15990,18,Moja prodavnica;Ananas;KupujemProdajem
Adidas Samba OG,Kultne retro patike od kože,Patike,43,bela,16490,12,Moja prodavnica;Ananas
Adidas Gazelle,Zamšane retro patike prepoznatljive po tri trake,Patike,42,plava,13990,16,Moja prodavnica;Ananas;Limundo
Nike Cortez,Klasik iz 1972. koji se vratio u modu,Patike,44,crvena,11990,20,Moja prodavnica;Ananas
Nike Cortez,Klasik iz 1972. koji se vratio u modu,Patike,41,bela,11990,0,Moja prodavnica
New Balance 574,Udobne retro patike za svaki dan,Patike,42,siva,12990,15,Moja prodavnica;Ananas;KupujemProdajem
New Balance 530,Lagane patike sa mrežastim gornjištem,Patike,43,bela,13490,14,Moja prodavnica;Shoppster
Puma Speedcat OG,Trkačke retro patike od brušene kože,Patike,43,crna,14990,10,Moja prodavnica;KupujemProdajem
Nike Air Force 1 '07,Legendarna silueta sa vazdušnim đonom,Patike,44,bela,15990,25,Moja prodavnica;Ananas;Shoppster
Nike Air Max 90,Prepoznatljiv vazdušni jastuk u peti,Patike,42,siva,16990,12,Moja prodavnica;Ananas
Adidas SL 72,Retro trkačke patike iz sedamdesetih,Patike,42,plava,12990,14,Moja prodavnica;Ananas
Converse Chuck Taylor All Star,Bezvremenske platnene patike,Patike,40,crna,7990,30,Moja prodavnica;Ananas;KupujemProdajem;Limundo
Vans Old Skool,Skejt klasik sa bočnom prugom,Patike,43,crna,9990,22,Moja prodavnica;KupujemProdajem
Reebok Club C 85,Minimalističke kožne patike,Patike,41,bela,11490,18,Moja prodavnica;Shoppster
Asics Gel-Kayano 14,Patike za trčanje sa gel amortizacijom,Patike za trčanje,43,srebrna,18990,9,Moja prodavnica;Ananas
Nike Pegasus 41,Univerzalne patike za dnevno trčanje,Patike za trčanje,44,crna,17990,11,Moja prodavnica;Ananas;Shoppster
Salomon XT-6,Trail patike sa Quicklace sistemom pertli,Patike za trčanje,42,crna,26990,6,Moja prodavnica
Adidas Predator 24 League,Kopačke za tvrd teren sa gumenim šiljcima,Kopačke,43,crna,19990,8,Moja prodavnica;Ananas
Nike Mercurial Vapor 16 Club,Lagane kopačke za brze napadače,Kopačke,42,narandžasta,15990,10,Moja prodavnica;Shoppster
